Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
cardano,"Mar 05, 2018",0.299897,0.317723,0.291055,0.297622,"202,675,000","7,775,450,000"
cardano,"Mar 04, 2018",0.296285,0.303588,0.286193,0.300787,"94,436,000","7,681,810,000"
cardano,"Mar 03, 2018",0.292952,0.309129,0.292507,0.297106,"115,320,000","7,595,380,000"
cardano,"Mar 02, 2018",0.304424,0.307058,0.288875,0.293504,"107,240,000","7,892,830,000"
cardano,"Mar 01, 2018",0.311973,0.311973,0.288392,0.304397,"184,691,000","8,088,540,000"
cardano,"Feb 28, 2018",0.334486,0.336163,0.312563,0.312581,"114,757,000","8,672,230,000"
cardano,"Feb 27, 2018",0.339132,0.341189,0.330971,0.335536,"106,757,000","8,792,710,000"
cardano,"Feb 26, 2018",0.345272,0.346955,0.322210,0.338335,"201,813,000","8,951,880,000"
cardano,"Feb 25, 2018",0.322152,0.354572,0.314411,0.344033,"247,808,000","8,352,460,000"
cardano,"Feb 24, 2018",0.343668,0.352488,0.316064,0.322966,"133,524,000","8,910,300,000"
cardano,"Feb 23, 2018",0.334758,0.351240,0.322811,0.345258,"222,509,000","8,679,300,000"
cardano,"Feb 22, 2018",0.362651,0.372116,0.330518,0.337871,"208,342,000","9,402,480,000"
cardano,"Feb 21, 2018",0.375593,0.383513,0.363394,0.364441,"242,378,000","9,738,030,000"
cardano,"Feb 20, 2018",0.390942,0.404329,0.377539,0.378779,"281,250,000","10,136,000,000"
cardano,"Feb 19, 2018",0.386930,0.396608,0.386224,0.391472,"169,966,000","10,032,000,000"
cardano,"Feb 18, 2018",0.418355,0.420010,0.380787,0.385618,"251,314,000","10,846,700,000"
cardano,"Feb 17, 2018",0.402403,0.428074,0.401056,0.419883,"341,415,000","10,433,100,000"
cardano,"Feb 16, 2018",0.410142,0.412404,0.392676,0.403810,"192,420,000","10,633,800,000"
cardano,"Feb 15, 2018",0.394671,0.416687,0.389937,0.409368,"348,342,000","10,232,700,000"
cardano,"Feb 14, 2018",0.373766,0.401321,0.370393,0.396908,"299,009,000","9,690,670,000"
cardano,"Feb 13, 2018",0.383436,0.387018,0.359920,0.373314,"225,695,000","9,941,370,000"
cardano,"Feb 12, 2018",0.372595,0.393307,0.372595,0.384315,"243,039,000","9,660,290,000"
cardano,"Feb 11, 2018",0.405104,0.405196,0.363624,0.369769,"331,944,000","10,503,200,000"
cardano,"Feb 10, 2018",0.386671,0.462766,0.385368,0.405872,"951,824,000","10,025,200,000"
cardano,"Feb 09, 2018",0.352848,0.394133,0.342911,0.391602,"401,271,000","9,148,310,000"
cardano,"Feb 08, 2018",0.344464,0.367504,0.336822,0.356584,"346,383,000","8,930,940,000"
cardano,"Feb 07, 2018",0.367267,0.377219,0.332507,0.340447,"679,744,000","9,522,150,000"
cardano,"Feb 06, 2018",0.331209,0.378719,0.266523,0.369753,"1,338,390,000","8,587,280,000"
cardano,"Feb 05, 2018",0.385044,0.399523,0.319646,0.327371,"658,548,000","9,983,060,000"
cardano,"Feb 04, 2018",0.433865,0.480140,0.369823,0.379303,"814,754,000","11,248,900,000"
cardano,"Feb 03, 2018",0.400965,0.501639,0.330815,0.438836,"1,404,500,000","10,395,800,000"
cardano,"Feb 02, 2018",0.419460,0.419460,0.274734,0.390534,"1,438,810,000","10,875,400,000"
cardano,"Feb 01, 2018",0.515912,0.535322,0.412045,0.421672,"595,624,000","13,376,100,000"
cardano,"Jan 31, 2018",0.527598,0.550252,0.471337,0.519315,"505,904,000","13,679,100,000"
cardano,"Jan 30, 2018",0.624799,0.624799,0.523418,0.531913,"359,622,000","16,199,200,000"
cardano,"Jan 29, 2018",0.669373,0.669373,0.620760,0.623204,"238,318,000","17,354,900,000"
cardano,"Jan 28, 2018",0.620560,0.681946,0.620560,0.670286,"325,146,000","16,089,300,000"
cardano,"Jan 27, 2018",0.623477,0.632956,0.595269,0.616833,"331,309,000","16,164,900,000"
cardano,"Jan 26, 2018",0.633903,0.652848,0.566218,0.623382,"810,062,000","16,435,300,000"
cardano,"Jan 25, 2018",0.629337,0.683023,0.621560,0.637495,"654,814,000","16,316,900,000"
cardano,"Jan 24, 2018",0.563369,0.636009,0.544753,0.622208,"689,838,000","14,606,500,000"
cardano,"Jan 23, 2018",0.566537,0.592231,0.520013,0.563070,"375,958,000","14,688,600,000"
cardano,"Jan 22, 2018",0.614983,0.631485,0.521889,0.570458,"522,984,000","15,944,700,000"
cardano,"Jan 21, 2018",0.706391,0.706391,0.590793,0.613163,"847,731,000","18,314,600,000"
cardano,"Jan 20, 2018",0.656564,0.726242,0.647644,0.707510,"738,799,000","17,022,800,000"
cardano,"Jan 19, 2018",0.649544,0.688520,0.615936,0.650498,"584,574,000","16,840,800,000"
cardano,"Jan 18, 2018",0.631295,0.711008,0.591528,0.659843,"1,285,490,000","16,367,600,000"
cardano,"Jan 17, 2018",0.624123,0.678517,0.440620,0.629102,"1,713,770,000","16,181,700,000"
cardano,"Jan 16, 2018",0.780621,0.780621,0.479944,0.626493,"1,632,650,000","20,239,200,000"
cardano,"Jan 15, 2018",0.795761,0.884506,0.777413,0.778587,"972,993,000","20,631,800,000"
cardano,"Jan 14, 2018",0.881961,0.881961,0.749514,0.802262,"160,712,000","22,866,700,000"
cardano,"Jan 13, 2018",0.917410,0.969325,0.836486,0.884124,"313,215,000","23,785,800,000"
cardano,"Jan 12, 2018",0.695769,0.932269,0.659967,0.897508,"365,795,000","18,039,200,000"
cardano,"Jan 11, 2018",0.791522,0.791522,0.572500,0.688412,"229,001,000","20,521,800,000"
cardano,"Jan 10, 2018",0.815872,0.816252,0.676835,0.793121,"236,472,000","21,153,200,000"
cardano,"Jan 09, 2018",0.898185,0.919436,0.796177,0.814743,"209,492,000","23,287,300,000"
cardano,"Jan 08, 2018",0.999329,0.999329,0.764328,0.899002,"264,461,000","25,909,700,000"
cardano,"Jan 07, 2018",1.02,1.04,0.991391,1.01,"226,067,000","26,553,200,000"
cardano,"Jan 06, 2018",0.997000,1.05,0.929183,1.03,"297,615,000","25,849,300,000"
cardano,"Jan 05, 2018",1.17,1.25,0.903503,0.999559,"508,100,000","30,364,400,000"
cardano,"Jan 04, 2018",1.09,1.33,1.04,1.11,"593,430,000","28,364,900,000"
cardano,"Jan 03, 2018",0.779681,1.09,0.778578,1.08,"657,398,000","20,214,800,000"
cardano,"Jan 02, 2018",0.724676,0.794646,0.697856,0.782587,"289,712,000","18,788,700,000"
cardano,"Jan 01, 2018",0.718847,0.730051,0.671941,0.728657,"150,186,000","18,637,600,000"
