Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
high-performance-blockchain,"Mar 24, 2018",3.37,3.49,3.10,3.37,"9,226,350","74,905,800"
high-performance-blockchain,"Mar 23, 2018",3.17,3.37,3.03,3.34,"9,337,020","70,493,000"
high-performance-blockchain,"Mar 22, 2018",3.12,3.27,2.82,3.17,"8,143,650","69,309,300"
high-performance-blockchain,"Mar 21, 2018",2.82,3.21,2.82,3.12,"7,925,450","62,689,800"
high-performance-blockchain,"Mar 20, 2018",2.64,2.84,2.47,2.81,"4,266,040","58,681,800"
high-performance-blockchain,"Mar 19, 2018",2.54,2.63,2.46,2.62,"3,558,400","56,461,500"
high-performance-blockchain,"Mar 18, 2018",2.50,2.63,2.08,2.55,"3,565,560","55,612,100"
high-performance-blockchain,"Mar 17, 2018",2.88,2.88,2.45,2.51,"2,923,450","63,934,200"
high-performance-blockchain,"Mar 16, 2018",2.67,2.95,2.58,2.87,"3,734,100","59,409,200"
high-performance-blockchain,"Mar 15, 2018",2.75,2.78,2.55,2.68,"2,387,850","61,157,100"
high-performance-blockchain,"Mar 14, 2018",3.18,3.23,2.65,2.75,"3,835,960","70,576,200"
high-performance-blockchain,"Mar 13, 2018",2.95,3.18,2.93,3.18,"3,284,820","65,614,200"
high-performance-blockchain,"Mar 12, 2018",3.10,3.37,2.77,2.96,"3,508,440","68,783,300"
high-performance-blockchain,"Mar 11, 2018",3.03,3.27,2.93,3.10,"2,805,530","67,259,300"
high-performance-blockchain,"Mar 10, 2018",3.23,3.40,3.02,3.04,"2,482,950","71,702,200"
high-performance-blockchain,"Mar 09, 2018",3.45,3.46,2.65,3.23,"4,929,810","76,654,900"
high-performance-blockchain,"Mar 08, 2018",3.75,3.91,3.29,3.46,"3,581,510","83,260,700"
high-performance-blockchain,"Mar 07, 2018",4.06,4.19,3.50,3.75,"3,618,290","90,187,900"
high-performance-blockchain,"Mar 06, 2018",4.73,4.73,4.01,4.06,"3,461,490","105,072,000"
high-performance-blockchain,"Mar 05, 2018",4.99,4.99,4.60,4.74,"3,158,480","110,844,000"
high-performance-blockchain,"Mar 04, 2018",4.97,4.99,4.82,4.99,"3,004,990","110,390,000"
high-performance-blockchain,"Mar 03, 2018",5.16,5.26,4.92,4.98,"3,943,070","114,538,000"
high-performance-blockchain,"Mar 02, 2018",4.95,5.20,4.64,5.16,"4,133,170","109,959,000"
high-performance-blockchain,"Mar 01, 2018",5.09,5.25,4.93,4.95,"3,961,220","113,064,000"
high-performance-blockchain,"Feb 28, 2018",5.55,5.71,5.01,5.08,"4,058,320","123,266,000"
high-performance-blockchain,"Feb 27, 2018",5.06,5.59,4.87,5.56,"5,181,220","112,377,000"
high-performance-blockchain,"Feb 26, 2018",4.21,5.05,4.01,5.00,"4,571,880","93,536,400"
high-performance-blockchain,"Feb 25, 2018",4.29,4.45,4.02,4.19,"3,563,010","95,310,800"
high-performance-blockchain,"Feb 24, 2018",4.62,4.71,4.07,4.29,"3,658,720","102,603,000"
high-performance-blockchain,"Feb 23, 2018",4.55,4.72,4.36,4.63,"2,827,820","101,161,000"
high-performance-blockchain,"Feb 22, 2018",4.96,5.14,4.37,4.58,"2,204,630","110,201,000"
high-performance-blockchain,"Feb 21, 2018",4.86,5.29,4.72,4.96,"4,657,240","108,035,000"
high-performance-blockchain,"Feb 20, 2018",6.06,6.10,4.84,4.85,"5,069,460","134,585,000"
high-performance-blockchain,"Feb 19, 2018",5.96,6.24,5.95,6.06,"5,086,050","132,501,000"
high-performance-blockchain,"Feb 18, 2018",6.46,6.59,5.97,6.00,"5,180,260","143,439,000"
