Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
attention-token-of-media,"Apr 13, 2018",0.003871,0.004446,0.003598,0.004193,"56,438","18,039,300"
attention-token-of-media,"Apr 12, 2018",0.003087,0.003875,0.003026,0.003864,"611,781","14,386,300"
attention-token-of-media,"Apr 11, 2018",0.003311,0.003340,0.002897,0.003102,"447,779","15,429,100"
attention-token-of-media,"Apr 10, 2018",0.003169,0.003329,0.002777,0.003303,"277,407","14,769,600"
attention-token-of-media,"Apr 09, 2018",0.002835,0.003441,0.002494,0.003155,"209,316","13,211,600"
attention-token-of-media,"Apr 08, 2018",0.003099,0.003245,0.002783,0.002828,"92,747","14,441,700"
attention-token-of-media,"Apr 07, 2018",0.003017,0.003797,0.002908,0.003100,"32,675","14,061,900"
attention-token-of-media,"Apr 06, 2018",0.003031,0.004027,0.002901,0.003018,"59,698","14,125,200"
attention-token-of-media,"Apr 05, 2018",0.003160,0.003289,0.002823,0.003046,"3,614","14,725,100"
attention-token-of-media,"Apr 04, 2018",0.003233,0.003480,0.002871,0.003160,"6,036","15,068,900"
attention-token-of-media,"Apr 03, 2018",0.003379,0.003633,0.002938,0.003207,"7,915","15,745,800"
attention-token-of-media,"Apr 02, 2018",0.003253,0.003576,0.003178,0.003376,"5,645","15,162,000"
attention-token-of-media,"Apr 01, 2018",0.003237,0.003425,0.003037,0.003242,"2,143","15,083,600"
attention-token-of-media,"Mar 31, 2018",0.003278,0.003540,0.003206,0.003236,"4,223","15,275,400"
attention-token-of-media,"Mar 30, 2018",0.003232,0.003637,0.003046,0.003279,"20,353","15,063,600"
attention-token-of-media,"Mar 29, 2018",0.003919,0.003938,0.003167,0.003240,"9,113","18,264,000"
attention-token-of-media,"Mar 28, 2018",0.003818,0.004047,0.003656,0.003913,"6,943","17,794,500"
attention-token-of-media,"Mar 27, 2018",0.003474,0.004148,0.003427,0.003817,"10,403","16,188,100"
attention-token-of-media,"Mar 26, 2018",0.004696,0.004789,0.003342,0.003478,"5,160","21,886,300"
attention-token-of-media,"Mar 25, 2018",0.004407,0.004815,0.004280,0.004702,"3,358","20,536,700"
attention-token-of-media,"Mar 24, 2018",0.004512,0.005242,0.004335,0.004456,"8,348","21,025,600"
attention-token-of-media,"Mar 23, 2018",0.004755,0.004929,0.003875,0.004463,"26,818","22,161,200"
attention-token-of-media,"Mar 22, 2018",0.004875,0.005371,0.004457,0.004756,"8,743","22,718,000"
attention-token-of-media,"Mar 21, 2018",0.005259,0.005710,0.004695,0.004871,"12,891","24,510,600"
attention-token-of-media,"Mar 20, 2018",0.005070,0.005469,0.004689,0.005243,"7,024","23,627,500"
attention-token-of-media,"Mar 19, 2018",0.004714,0.005128,0.004315,0.005025,"13,622","21,970,500"
attention-token-of-media,"Mar 18, 2018",0.005273,0.005325,0.003835,0.004733,"32,628","24,571,900"
attention-token-of-media,"Mar 17, 2018",0.004867,0.005972,0.004807,0.005292,"58,239","22,679,800"
attention-token-of-media,"Mar 16, 2018",0.006138,0.006183,0.004858,0.004863,"716,055","28,602,600"
attention-token-of-media,"Mar 15, 2018",0.005578,0.006324,0.005249,0.006145,"998,640","25,996,100"
attention-token-of-media,"Mar 14, 2018",0.006436,0.007040,0.005347,0.005575,"675,945","29,994,200"
attention-token-of-media,"Mar 13, 2018",0.007002,0.008382,0.004509,0.006434,"583,026","32,629,800"
attention-token-of-media,"Mar 12, 2018",0.009394,0.009511,0.004071,0.007010,"806,771","43,778,400"
attention-token-of-media,"Mar 11, 2018",0.008949,0.011400,0.008306,0.009406,"6,251,200","41,703,500"
attention-token-of-media,"Mar 10, 2018",0.011649,0.012548,0.008913,0.008975,"4,899,600","54,285,800"
attention-token-of-media,"Mar 09, 2018",0.009804,0.011684,0.009207,0.011654,"2,747,810","45,688,200"
attention-token-of-media,"Mar 08, 2018",0.007318,0.015027,0.006046,0.009822,"3,668,020","34,101,700"
attention-token-of-media,"Mar 07, 2018",0.007373,0.008197,0.006131,0.007395,"160,776","34,358,300"
attention-token-of-media,"Mar 06, 2018",0.008944,0.009202,0.006791,0.007366,"196,124","41,680,600"
attention-token-of-media,"Mar 05, 2018",0.009363,0.009363,0.008307,0.008946,"399,908","43,636,200"
attention-token-of-media,"Mar 04, 2018",0.008401,0.010289,0.008373,0.009362,"389,274","39,151,700"
attention-token-of-media,"Mar 03, 2018",0.009344,0.009580,0.008375,0.008403,"367,655","43,544,600"
attention-token-of-media,"Mar 02, 2018",0.008777,0.016275,0.008707,0.009351,"210,076","40,902,700"
attention-token-of-media,"Mar 01, 2018",0.008692,0.009637,0.007929,0.008781,"100,993","40,505,900"
attention-token-of-media,"Feb 28, 2018",0.010267,0.010541,0.008458,0.008697,"102,853","47,847,300"
attention-token-of-media,"Feb 27, 2018",0.010209,0.010538,0.008753,0.010269,"13,048","47,577,500"
attention-token-of-media,"Feb 26, 2018",0.009961,0.010502,0.009548,0.010181,"104,080","46,422,400"
attention-token-of-media,"Feb 25, 2018",0.008825,0.010055,0.008624,0.009955,"160,679","41,126,200"
attention-token-of-media,"Feb 24, 2018",0.009556,0.010620,0.008287,0.008837,"26,848","44,533,900"
attention-token-of-media,"Feb 23, 2018",0.009312,0.010361,0.008718,0.009568,"12,693","43,395,800"
attention-token-of-media,"Feb 22, 2018",0.009652,0.010129,0.008577,0.009291,"18,040","44,983,400"
attention-token-of-media,"Feb 21, 2018",0.010820,0.011134,0.008953,0.009163,"28,547","50,425,100"
attention-token-of-media,"Feb 20, 2018",0.011837,0.012366,0.010275,0.010833,"57,419","55,162,500"
attention-token-of-media,"Feb 19, 2018",0.011401,0.012162,0.010499,0.011831,"46,611","53,132,200"
attention-token-of-media,"Feb 18, 2018",0.014860,0.014860,0.011448,0.011448,"39,374","69,250,100"
attention-token-of-media,"Feb 17, 2018",0.012892,0.015114,0.012458,0.014802,"49,733","60,078,200"
attention-token-of-media,"Feb 16, 2018",0.011623,0.013701,0.011585,0.012890,"43,171","54,166,700"
attention-token-of-media,"Feb 15, 2018",0.010464,0.012310,0.010152,0.011450,"30,490","48,763,700"
attention-token-of-media,"Feb 14, 2018",0.011156,0.011943,0.010414,0.010891,"30,293","51,992,700"
attention-token-of-media,"Feb 13, 2018",0.011287,0.011566,0.010463,0.011174,"19,386","52,600,900"
attention-token-of-media,"Feb 12, 2018",0.010513,0.011683,0.010288,0.011271,"32,730","48,992,600"
attention-token-of-media,"Feb 11, 2018",0.012806,0.012806,0.010288,0.010464,"42,000","59,678,400"
attention-token-of-media,"Feb 10, 2018",0.013396,0.013601,0.010384,0.012822,"112,738","62,429,800"
attention-token-of-media,"Feb 09, 2018",0.010998,0.013673,0.010246,0.013400,"193,296","51,253,600"
attention-token-of-media,"Feb 08, 2018",0.010648,0.012882,0.010084,0.011000,"208,060","49,624,200"
attention-token-of-media,"Feb 07, 2018",0.010252,0.013406,0.009506,0.010671,"292,184","47,777,500"
attention-token-of-media,"Feb 06, 2018",0.009518,0.010702,0.008054,0.010270,"137,626","44,354,900"
attention-token-of-media,"Feb 05, 2018",0.011247,0.012300,0.008998,0.009506,"133,369","52,414,900"
attention-token-of-media,"Feb 04, 2018",0.013740,0.014386,0.011097,0.011330,"25,492","64,031,500"
attention-token-of-media,"Feb 03, 2018",0.012055,0.013962,0.011388,0.013735,"37,317","56,181,500"
attention-token-of-media,"Feb 02, 2018",0.012752,0.013534,0.009991,0.012025,"83,478","59,428,900"
attention-token-of-media,"Feb 01, 2018",0.017266,0.018599,0.011986,0.012780,"146,839","80,464,200"
attention-token-of-media,"Jan 31, 2018",0.013354,0.019327,0.012785,0.017168,"106,890","62,234,900"
attention-token-of-media,"Jan 30, 2018",0.017201,0.021084,0.012907,0.013318,"473,002","80,162,600"
attention-token-of-media,"Jan 29, 2018",0.017469,0.019190,0.015991,0.017005,"92,974","81,409,000"
attention-token-of-media,"Jan 28, 2018",0.021448,0.022231,0.016375,0.017422,"280,236","99,955,500"
attention-token-of-media,"Jan 27, 2018",0.021953,0.022268,0.019652,0.021338,"56,012","102,307,000"
attention-token-of-media,"Jan 26, 2018",0.020317,0.022872,0.018191,0.021954,"325,133","94,682,800"
attention-token-of-media,"Jan 25, 2018",0.019589,0.027549,0.019309,0.020387,"534,114","91,288,600"
attention-token-of-media,"Jan 24, 2018",0.021739,0.023745,0.019021,0.021690,"84,424","101,312,000"
attention-token-of-media,"Jan 23, 2018",0.021457,0.023282,0.019519,0.021759,"115,555","99,996,000"
attention-token-of-media,"Jan 22, 2018",0.024893,0.027688,0.019901,0.021455,"143,585","116,011,000"
attention-token-of-media,"Jan 21, 2018",0.031883,0.031883,0.023968,0.025281,"169,430","148,584,000"
attention-token-of-media,"Jan 20, 2018",0.028104,0.031878,0.025653,0.031823,"167,687","130,973,000"
attention-token-of-media,"Jan 19, 2018",0.025942,0.028724,0.023133,0.027884,"892,160","120,898,000"
attention-token-of-media,"Jan 18, 2018",0.023005,0.027839,0.020239,0.026230,"221,298","113,762,000"
attention-token-of-media,"Jan 17, 2018",0.021132,0.025629,0.012888,0.020708,"139,742","104,500,000"
attention-token-of-media,"Jan 16, 2018",0.033227,0.033227,0.017746,0.021255,"219,959","164,312,000"
attention-token-of-media,"Jan 15, 2018",0.031401,0.039688,0.029280,0.033306,"489,934","155,284,000"
attention-token-of-media,"Jan 14, 2018",0.035231,0.037525,0.028587,0.031555,"332,742","174,224,000"
attention-token-of-media,"Jan 13, 2018",0.037456,0.038913,0.029604,0.036067,"626,522","185,225,000"
attention-token-of-media,"Jan 12, 2018",0.032038,0.039327,0.026410,0.039269,"700,075","158,433,000"
attention-token-of-media,"Jan 11, 2018",0.041735,0.043506,0.029006,0.031841,"486,981","206,388,000"
attention-token-of-media,"Jan 10, 2018",0.047242,0.051280,0.033136,0.041786,"633,342","233,622,000"
attention-token-of-media,"Jan 09, 2018",0.047590,0.051662,0.042757,0.048479,"664,811","235,338,000"
attention-token-of-media,"Jan 08, 2018",0.078728,0.078728,0.035707,0.045359,"1,453,390","389,321,000"
attention-token-of-media,"Jan 07, 2018",0.028776,0.067756,0.024572,0.067315,"1,888,080","142,301,000"
attention-token-of-media,"Jan 06, 2018",0.021619,0.031089,0.020682,0.028904,"381,239","106,909,000"
attention-token-of-media,"Jan 05, 2018",0.020771,0.021425,0.017619,0.021425,"152,831","102,715,000"
attention-token-of-media,"Jan 04, 2018",0.023193,0.023246,0.017268,0.020808,"57,799","114,694,000"
attention-token-of-media,"Jan 03, 2018",0.018340,0.024681,0.016238,0.023126,"52,098","90,692,600"
attention-token-of-media,"Jan 02, 2018",0.017321,0.021060,0.016323,0.018773,"104,917","85,655,000"
attention-token-of-media,"Jan 01, 2018",0.018754,0.019177,0.015990,0.017307,"74,702","92,743,500"
